"TopPaidGames_name","TopPaidGames_url","TopPaidGames_Description","TopPaidGames_Ratings","TopPaidGames_Users","TopPaidGames_Price","TopPaidGames_Category","TopPaidGames_Category_url"
"Kingdom Rush Origins - TD","https://play.google.com/store/apps/details?id=com.ironhidegames.android.kingdomrushorigins","Unleash the power of each elf with brand new towers and troops - welcome to Kingdom Rush Origins!
Kingdom Rush Origins is the third installment of the award-winning Kingdom Rush tower defense saga, loved by millions and earning accolades from gamers and critics around the globe.
Take a trip back to the beginning, before Vez’nan ever thought to threaten the kingdom with the gem of power, and experience even more of the lightning-fast, exceptionally captivating gameplay that made the franchise a cornerstone of essential tower defense games and adventure games.
In this exciting prequel, command your elven army and defend mystical lands from sea serpents, evil sorcerers, and wave after wave of gnoll tribesman, all with the help of brand-spankin’ new towers, heroes, and spells to fend off every last baddie. Win your battles and advance in the adventure.
Kingdom Rush Origins packs in a treasure trove of new content and features while keeping the signature look that millions of adventure games players have come to love.
Re-enter in the world of Kingdom Rush: in the prequel, you will visit mysterious elven forests, magical faery realms, and even floating ruins of an ancient metropolis in this fantastic tower defense game!
Build awesome powerful towers
★ Unleash the power of each elf in your brand new towers and troops! Elf Archers, Mystic Mages, Stone Druids, and the Elven Infantry make up the backbone of your army to help you win battles.
★ Discover 8 new specialized tower upgrades with over 18 abilities! Clash your enemies with elven marksmen, runed bears, magic-wielding wizards, and even giant animated trees. Execute your strategy with the unique abilities and extraordinary power of every tower! If you like adventure games - try this tower defense game and fall in love!
Train audacious and legendary heroes!
★ Master and upgrade 16 legendary heroes and their extraordinary powers and spells in the prequel!
★ Rain lightning, summon reinforcements, and use each hero’s unique power to clash with your enemies!
Fight and clash the hordes of enemies in epic tower defense battles!
★ Take up arms against 30 new enemy types and engage in epic boss battles! Face hordes of Gnolls, giant spiders, and the terrible Twilight army. Set up your strategy, and get them!
★ Plan your strategy to deal with intense boss fights
More fantastic content!
★ Immerse yourself in hours of gameplay with over 70 achievements, with three difficulty modes for the newbs and veterans alike. Explore the elf realm and get them all!
★ Play different game modes with a different strategy - Classic, Iron, and Heroic - and prove your mettle as a master tactician.
★ Get new-and-improved equipment using your hard-earned gems in a revamped Gnome shop.
★ Study your enemies, towers and battles with an in-game encyclopedia.
★ No internet? No problem! Play it offline. Play the prequel tower defense game, even offline!
-----------------------------------------------------
Praise for the Kingdom Rush series: Google’s Editor’s Choice Award, IGN Editor's Choice, Slide To Play Must Have, GameInformer Gold Award, 148 Apps Editor's Choice, Jay is Games Game of the Year, Pocket Gamer Gold Award, CNET Editor’s Choice Award, Gamezebo 4.5/5, Touch Arcade 4.5/5, Venturebeat 94/100.
Terms and Conditions:
https://www.ironhidegames.com/TermsOfService
Privacy Policy:
https://www.ironhidegames.com/PrivacyPolicy
Video creators, podcast creators, and streamers:
We would love to see your content on Youtube and Twitch! We support and promote channel creators so, if you want us to showcase your videos or want to know more about our games, feel free to write to us at contact@ironhidegames.com","4.8","134,744","$2.99 $0.99 Buy","Strategy","https://play.google.com/store/apps/category/GAME_STRATEGY"
"My OldBoy! - GBC Emulator","https://play.google.com/store/apps/details?id=com.fastemulator.gbc","My OldBoy! is a full-featured and super-fast emulator to run Game Boy and Game Boy Color games on the broadest range of Android devices, from very low-end phones to modern tablets. It emulates accurately almost every aspect of the real hardware. Special features including link cable, rumble, and tilt sensor are also supported. You can also make your GB games colorful by selecting a custom palette.
Of course it does not just emulate the hardware. Thanks to the save state system, you can save progress at any time and return back to it instantly. And while enabling fast-forward in game, you can quickly skip to the part of the game you are mostly interested in.
• Fastest emulation using ARM assembly code. Easily get to 60 FPS without frame skips even on very low-end devices.
• Very good game compatibility.
• Saves your battery as much as possible.
• Link cable emulation either on the same device, or across devices over Bluetooth or Wi-Fi, running at decent speed.
• Tilt sensor and rumble emulation through your Android's hardware sensors and vibrator!
• Game Boy Camera and Game Boy Printer emulation.
• Super Game Boy palettes emulation. Enhance monochrome games by bringing more colors!
• Enter multilined GameShark/GameGenie cheat codes and enable/disable them on the fly while the game is running.
• IPS/UPS ROM patching
• Fast-forward to skip long stories, as well as slow down games to get past a level you cannot in normal speed. Depending on your hardware, it can run as fast as 50x normal speed.
• OpenGL rendering backend, as well as normal rendering on devices without a GPU.
• Cool video filters through the support of GLSL shaders.
• Save games at any time with screenshot.
• On-screen keypad (multi-touch requires Android 2.0 or later), as well as shortcut buttons such as load/save.
• A very powerful screen layout editor, with which you can define the position and size for each of the on-screen controls, as well as for the game video.
• External controllers support, through either the Android native way or input method.
• Well-designed user interface. Seamlessly integrated with the latest Android.
• Create and switch to different screen-layout and key-mapping profiles.
• Create shortcuts to easily launch your favorite games from your desktop.
No games are included in this app and you need to obtain yours in a legal way. Place them onto your SD card, and browse to them from within the app.
LEGAL: This product is not affiliated with, nor authorized, endorsed or licensed in any way by Nintendo Corporation, its affiliates or subsidiaries.
*** Unlike many others, we are the actual core developers. Your reported bugs will most likely get fixed very soon!","4.6","7,294","$3.99 Buy","Arcade","https://play.google.com/store/apps/category/GAME_ARCADE"
"Clue: The Classic Mystery Game","https://play.google.com/store/apps/details?id=com.marmalade.cluedogame","THE ORIGINAL HASBRO BOARD GAME - It’s the classic murder mystery! Who did it? With what weapon? In which room? There’s a high-risk party at the mansion and every guest is a suspect. Roll the dice, become a detective and let Clue begin!
• A PREMIUM DIGITAL BOARD GAME - There are no ads, no pop-ups and no pay-to-win limits. Once you buy the app, that’s it: unlimited multiplayer fun for you and your family and nothing to stop you solving the crime!
• A BRAIN TEASER - Test your detective skills. At the start of each game, Clue will take one suspect, one weapon, and one room from the deck, and deal the rest to the players. If you ask: “was it Colonel Mustard with the Rope in the Drawing Room”, a player holding the Colonel, the Rope or the Drawing Room must show you their card. Enter every room in search of answers!
• CLUESHEET & HINT SYSTEM - Who committed murder?! Don’t risk letting the criminal escape! Use your virtual Cluesheet companion to make a note of the suspects, weapons and rooms you can eliminate. The ideal companion for every detective: Cluesheet helps you make your deductions, perfect your strategy and solve the mystery.
• FAMILY FRIENDLY - It’s the original family board game by Hasbro, suitable for all players 8 years and over. With no adverts or necessary in-app purchases it’s multiplayer fun for kids and adults. With the whole board game on your mobile you can take Clue wherever you go! Roll the dice and solve the mystery!
• SINGLE PLAYER - Put your brain to the test against a guest list of AI murder suspects, online or offline! Choose your character, choose your opponents and let no criminal escape the mansion!
• ONLINE MULTIPLAYER - Play Clue with your friends and find out who’s guilty on mobile, PC or Nintendo Switch! Don’t let distance stop your board game night. Play on the go, or curl up in an armchair and settle down for a night of crime and detective work, wherever you are!
• LOCAL MULTIPLAYER - Play a game of CLUE with people from all over the world or create a private multiplayer game to play with your friends and family.
• 10 ADDITIONAL THEMES - Explore ten different themed boards with the Clue Season Pass. Listed under “Editor’s Choice” for the Most Stylish Game, our exclusive original themes are hand crafted by our studio artists.
o Tudor Mansion: The guests at this party have turned out to be a lethal combination!
o Vampire Castle: In a household where every suspect is a monster, who committed the crime?
o Egyptian Adventure: Solve the crime, from the dark tombs of pharaohs to the crumbling pyramids!
o Hollywood: In a land where life is an act, can you find the truth in the fairytale?
o Murder Express: Challenge your friends to solve a mystery based on a classic Agatha Christie novel!
o Sherlock: Become the great detective and solve a crime on the dark streets of London!
o Snowy Peaks: Old friends have been reunited. Tensions are running high, but whose grudge ran that deep?
o Tropical Mystery: Someone has rocked this boat in a big way! It’s a luxury race to the answer!
o Venetian Masquerade: Historic Venice is beautiful, but crime lurks beneath the surface!
o Wild West: From the jailhouse to the saloon, the story of Dr. Black’s end will spread far and wide. Only you can discover the truth!
About Marmalade Game Studio
At Marmalade Game Studio we make quality, premium multiplayer board games. Play our classic games, including Monopoly and The Game of Life 2, anywhere on your mobile! Enjoy with your friends and family whether you’re together or apart. You can find the fun with people you know or players around the world. Our games are ad-free, family friendly fun. For quality time, look for the Marmalade Game Studio logo.","4.3","42,384","$4.99 $2.49 Buy","Board","https://play.google.com/store/apps/category/GAME_BOARD"
"Alien: Blackout","https://play.google.com/store/apps/details?id=com.D3Go.mendel","The terror of Alien is brought to life in Alien: Blackout. Try to stay alive while trapped aboard a crippled Weyland-Yutani space station carrying a deadly Xenomorph as it tirelessly hunts you and the crew. Outsmart the perfect hunter by making perilous choices. Players must rely on the damaged controls of the space station or risk sacrificing crew members to avoid deadly contact, permanently altering the outcome of the game.
Survive seven fear-inducing levels by remotely guiding Amanda Ripley's crew through increasingly challenging tasks using only the station’s emergency systems. The uncertainty and unpredictability of both the alien and her crew can impose total defeat for Amanda and the entire station.
Alien: Blackout is a unique fear-inducing horror premium mobile game experience that will test the inner nerves of both Alien and horror fans alike, where life can end in an instant.
KEY FEATURES:
SURVIVE OR DIE – Using only the space station’s limited power supply to operate a holographic map, surveillance cameras, and motion tracker, attempt to remain hidden and protect your crew from the perfect hunter in seven fear-inducing levels.
A NEW CHAPTER IN THE ALIEN FRANCHISE – A new chapter in the Alien franchise following the saga of Amanda Ripley, Ellen Ripley’s daughter, between the films Alien and Aliens.
FIRST CLASS ALIEN MOBILE EXPERIENCE – An immersive and captivating Alien experience, perfectly designed for mobile gaming, bringing the Alien story to life.
ENCOUNTER FEAR AGAIN AND AGAIN – Every decision can lead to a different conclusion. Players can test different strategies and theories to outlast the Xenomorph in pursuit of victory!","4.2","12,506","$0.99 Buy","Adventure","https://play.google.com/store/apps/category/GAME_ADVENTURE"
"Trivia Crack Premium","https://play.google.com/store/apps/details?id=com.etermax.preguntados.pro","Step up your quiz game answering fun general trivia questions!
Love games with friends? Challenge friends and family to fun trivia questions! Prove you are the smartest not only by answering trivial questions, but by suggesting multiple-choice questions in this quiz app.
Show the world how clever you are while you learn new fun and interesting facts.
Test your knowledge in six different categories led by exciting characters. Spin Willy the Wheel and let fate decide where to start your quiz question games.
• Can’t get enough trivia for road trips? Tito will share his world-class Geography knowledge for all your road trip trivia needs. Can you guess which country has a city called Batman?
• Albert is the go to guy when it comes to Science. If you love good trivia questions, he can quiz you on math, chemistry, physics and even technology!
• Hector will defend your honour through the ages. Make your mark in History by overthrowing your opponents in a duel.
• Are you MVP trivia sports material? Bonzo can keep you in shape for the upcoming seasons with Sports trivia!
• Can you tell the difference between a Van Gogh and a Monet? Let Tina test your knowledge of Art.
• Spoiler alert! Pop will keep you up to date with fun trivia questions on anything Entertainment related. Prove your knowledge of the latest pop trivia across TV shows, videogames, movies and music.
Know any interesting facts? Show other users what you’re made of by creating trivia questions with answers.
Speak multiple languages? Prove your linguistic skills and make the content in your language even richer by translating.
Want fewer easy trivia questions and more challenging questions? You’re the boss! Decide and improve what makes it into the game by rating questions made by other users.
New to the game?
1. Spin the wheel: We’ll quiz you on one of our six categories. Answer correctly so you don't miss your turn!
2. Fill the Crown gauge: Get a character by landing the wheel on the Crown section, or answer three questions correctly.
3. Collect the characters: Win them by answering three questions correctly or challenging your opponent to a duel to snatch one of theirs! Get all six characters to win the match!
Other features!
• Need more trivia today? Visit Survival mode and be the last one standing defeating opponents in a real-time non-stop questions challenge.
• Play Single Player Mode to answer questions non-stop and beat your high-score. No turns, no waits, enjoy trivia of the day at your own pace!
• Win our biggest rewards ever with Missions!
Spectacular social extras:
• Check your quiz games ranking and see if you can get more correct answers than your friends or see who’s the real family trivia head of the house!
• Share your progress through social networks.
• Chat with friends, family or random opponents.
• Collect fun character cards and win rewards.
Gain an extra edge with Power Ups
• Use Bombs to remove two incorrect answers.
• Don’t think you’ll get the question right the first time around? Don’t worry, use Double chance to get another go.
• Trivial pursuit questions too difficult? Use Skip to go to the next one.
Have any questions or concerns? Check our Support page!
http://support.etermax.com/customer/en/portal/articles
Want the full trivia 360 degree experience? Follow us on:
- Facebook: https://www.facebook.com/triviacrack
- Twitter: @triviacrack
- Instagram: https://instagram.com/triviacrack
- YouTube: https://www.youtube.com/c/TriviaCrackOfficial
- Google+: https://plus.google.com/+TriviaCrackOfficial/","4.6","78,941","$1.99 Buy","Trivia","https://play.google.com/store/apps/category/GAME_TRIVIA"
"Human: Fall Flat","https://play.google.com/store/apps/details?id=com.and.games505.humanfallflat","Human: Fall Flat is a hilarious, light-hearted physics platformer set in floating dreamscapes that can be played solo or with up to 4 players. Free new levels keep its vibrant community rewarded. Each dream level provides a new environment to navigate, from mansions, castles and Aztec adventures to snowy mountains, eerie nightscapes and industrial locations. Multiple routes through each level, and perfectly playful puzzles ensure exploration and ingenuity are rewarded.
MORE HUMANS, MORE MAYHEM - Need a hand getting that boulder on to a catapult, or need someone to break that wall? Online multiplayer for up to 4 players transforms the way Human: Fall Flat is played.
MIND BENDING PUZZLES - Explore open-ended levels full of challenging puzzles and hilarious distractions. Try new paths and discover all the secrets!
A BLANK CANVAS - Your Human is yours to customize. With outfits from builder to chef, skydiver, miner, astronaut and ninja. Choose your head, upper and lower body and get creative with the colors!
FREE GREAT CONTENT - Since launch more than four brand new levels have launched free of charge with even more on the horizon. What could the next dreamscape have in store?
A VIBRANT COMMUNITY - Streamers and YouTubers flock to Human: Fall Flat for its unique, hilarious gameplay. Fans have watched these videos more than 3 Billion times!","3.6","21,015","$4.99 Buy","Puzzle","https://play.google.com/store/apps/category/GAME_PUZZLE"
"Bendy and the Ink Machine","https://play.google.com/store/apps/details?id=com.jds.batim","Bendy and the Ink Machine™ is a first person puzzle-action-horror game with a unique cartoon atmosphere and an intense, frightening storyline that keeps you guessing throughout.
Henry was the lead animator at Joey Drew Studios in its 1930s heyday, a studio that was best known for producing animated cartoons of their most popular and beloved character, Bendy. Many years later Henry receives a mysterious invitation from Joey Drew himself to return to the old cartoon workshop. Journey deep into the sketchy madness of this twisted cartoon nightmare.
Fight the darkness. Escape the Ink Demon. Fear the Machine.
• Varied Game Play! - First person combat, horror, puzzles, stealth and numerous hidden secrets.
• A Beautiful Cartoon World! - Lovingly crafted by a small indie studio.
• A Global Bendy Community! - Delve deep into the mystery and join the discussion at joeydrewstudios.com","4.5","13,666","$6.99 Buy","Adventure","https://play.google.com/store/apps/category/GAME_ADVENTURE"
"Castlevania: SotN","https://play.google.com/store/apps/details?id=jp.konami.epjCastlevania2","The iconic game from the beloved Castlevania series finally comes to mobile. This direct port of the classic console action RPG lets you jump, dash and slash your way through Dracula’s vast castle as Alucard while encountering a unique array of enemies and characters along the way.
Rediscover the world of Castlevania with one of its original groundbreaking games and renowned music and graphics.
□Features
Fully compatible with game controllers
New continue feature
Unlock achievements with hard-fought battle milestones
Available in 6 languages: English, Japanese, German, French, Italian, Spanish
□Notes
・Pixel 4
Turn off ""Smooth Display"".","4.4","20,967","$2.99 Buy","Action","https://play.google.com/store/apps/category/GAME_ACTION"
"60 Seconds! Atomic Adventure","https://play.google.com/store/apps/details?id=com.robotgentleman.game60seconds","As Ted, a responsible citizen and a family man, you are faced with a slight disturbance to your happy, suburban lifestyle. THE NUCLEAR APOCALYPSE.
With only 60 seconds left to impact, guide Ted in a mad, intense and action packed dash through his house in search of his family and useful supplies. Everything will be against you - time, your very own furniture, the house that's different every time you play and the fundamental question - what to take with you and who to leave behind?
Reaching the fallout shelter in time and alive is only the beginning. Whatever you scavenged and whoever you saved will play a vital role in your survival. Each survival story will be different, with every day surprising you with unexpected events. Will all of these stories end well? It's up to you. Ration food and water, make best use of your supplies, face difficult choices and even venture into the wasteland.
Good luck.
EXPERIENCE
the suburbian nightmare of a nuke dropping down on your neighbourhood in this atomic, dark comedy set in 1950s.
SCAVENGE
any supplies, you will need to survive, and family members in a 60 second rush through your procedurally generated house.
PREPARE
for the worst. Don’t just grab arbitrary items, plan your survival and follow helpful tips from emergency broadcasts!
SURVIVE
in a fallout shelter with whatever you brought with you. How many days will you last? Will everyone make it out alive?
DECIDE
what to do, when the post-apocalyptic world pushes you to the corner. Will you risk going outside? Who is not eating dinner, when barely any food is left? How do you deal with a mutant cockroach infestation?
System requirements:
ARMv7 (NEON compatible)/Atom CPU; OpenGL ES 2.0 or later
1 GB RAM or above
Languages:
Deutsch, English, Español, Français, Italiano, 日本語, Polski, Português BR, Pусский, 中文, 한국어","3.9","20,083","$3.99 Buy","Adventure","https://play.google.com/store/apps/category/GAME_ADVENTURE"
"vDS - NDS Emulator","https://play.google.com/store/apps/details?id=com.icorewwwi.vDS","FEATURES :
- Enable/Disable frameskip
- Dynamic touchscreen gamepad
- Supports Bluetooth/USB gamepads supports
- Portrait and landscape modes
- Save / Load states
- Cheats codes","4.4","1,203","$0.99 Buy","Arcade","https://play.google.com/store/apps/category/GAME_ARCADE"
"XCOM 2 Collection","https://play.google.com/store/apps/details?id=com.feralinteractive.xcom2_android","Aliens rule Earth with a new order promising a brilliant future for those who conform, and silencing all those who do not. At the edges of the world, the scattered forces of XCOM gather to defend humanity, ignite a global resistance, and reclaim the planet.
Bring down the alien regime from your phone or tablet with the XCOM 2 Collection; the complete experience of XCOM 2: War of the Chosen and four DLC packs in a single package with no in-app purchases.
XCOM 2 – ON THE GO WITH NO COMPROMISES
Experience all the turn-based tactical action of the desktop classic, XCOM 2: War of the Chosen, on your phone and tablet.
DESIGNED AND OPTIMISED FOR ANDROID
A redesigned command interface makes XCOM 2 a perfect fit for touchscreen, while extensive optimisation ensures smooth performance.
CUSTOMISE YOUR SQUADS
Craft your team with care for the battles ahead: you need them to stay alive against overwhelming odds.
EVERY GAME A UNIQUE CHALLENGE
Procedural generation offers an-infinite combination of maps and objectives for an endlessly replayable experience.
INCLUDES FOUR DLC PACKS
Enrich the mix with new, story-driven missions, equipment, soldier types, and powerful alien ‘rulers’ from XCOM 2's DLC packs.
===
The XCOM 2 Collection requires Android 9 or later. You will need 8.5GB of free space to install the game and all of its content, and we recommend having at least 17GB of free space to avoid installation issues.
Supported devices:
• ASUS ROG Phone II
• Google Pixel 3 / 3XL / 4 / 4XL
• HTC U12+
• OnePlus 6T / 7 / 8 / 8T / 9
• Samsung Galaxy S9 / S10 / S10+ / S10e / S20 / S21
• Samsung Galaxy Note9 / Note10 / Note10+ / Note20 5G
• Samsung Galaxy Tab S6 / S7
• Sony Xperia 1 / XZ2 Compact
• Vivo NEX S
• Xiaomi Mi 9
• Xiaomi Pocophone F1
If your device is not listed above but you are still able to purchase XCOM 2 Collection, your device is capable of running the game but is not officially supported. Devices that are not capable of running XCOM 2 Collection are blocked from purchasing it.
If you require assistance, please contact our support team at support@feralinteractive.com.
===
Supported Languages: English, Deutsch, Español, Français, Italiano, 日本語, 한국어, Polski, Pусский, 简体中文, 繁體中文
===
© 2021 Take-Two Interactive Software, Inc. Originally developed by Firaxis Games. Take-Two Interactive Software, 2K, Firaxis Games, XCOM, XCOM 2, and their respective logos are trademarks of Take-Two Interactive Software, Inc. Developed for and published on Android by Feral Interactive. Android is a trademark of Google LLC. Feral and the Feral logo are trademarks of Feral Interactive Ltd. All other marks and trademarks are the property of their respective owners. All rights reserved.","4.4","854","$14.99 Buy","Strategy","https://play.google.com/store/apps/category/GAME_STRATEGY"
"Scribblenauts Remix","https://play.google.com/store/apps/details?id=com.wb.goog.scribbleremix","THINK IT! CREATE IT! SOLVE IT! The award-winning, best-selling video game is now available for Android tablets and phones!
Help Maxwell acquire the Starite by creating any object, bringing it to life and using it to solve each challenge.
Let your imagination run wild in this groundbreaking puzzle game. Summon to life a ‘colossal, winged car’ or a ‘shy, frost-breathing, robotic hippopotamus’! If you can think it, you can create it.
It’s the perfect game for the casual player looking for fun and extensive replay with unlimited solutions and different outcomes. Or, the Scribblenauts fan wanting the complete Maxwell experience.
Whether you’re 8 or 80, the only limit is your imagination!
============================================================================
And, the critics love it!
> “Editors’ Choice Award” – IGN.com
> “A work of utter genius.” – Touch Arcade
> “A brilliant game.” – Wired.com
> “4/4 Stars. A highly recommended puzzle game for all ages.” – USA Today
============================================================================
FEATURES:
CLASSIC GAMEPLAY
50 levels to play! Includes 40 of the most popular levels from Scribblenauts and Super Scribblenauts and 10 original levels exclusive to Remix.
WORLD PASS
Purchase a World Pass and receive all current and future world expansions - 40 extra levels and counting! If you previously purchased a world expansion, you’re automatically upgraded to a World Pass and all future worlds will now automatically appear in your game for free.
PLAYABLE AVATARS
Re-live Scribblenauts by playing as a different character from in the game. Try out the feature with the free God avatar!
UNLIMITED FUN
Enter the Playground to create objects to your heart’s content, playing and interacting in a true sandbox!
INNOVATIVE USER INTERFACE
Use the “shake to undo” function to remove created objects simply by shaking your Android device.
Create what you want and see what happens!
Hang out with Maxwell!
> VISIT Maxwell:: www.scribblenautsremix.com
> LIKE Maxwell:: www.facebook.com/ScribblenautsVideoGame
> FOLLOW Maxwell: http://twitter.com/ScribbleMaxwell","3.9","109,887","$0.99 Buy","Puzzle","https://play.google.com/store/apps/category/GAME_PUZZLE"
"Incredibox","https://play.google.com/store/apps/details?id=com.sofarsogood.incredibox","Incredibox is a music app that lets you create your own music with the help of a merry crew of beatboxers. Choose your musical style among 8 impressive atmospheres and start to lay down, record and share your mix.
Part game, part tool, Incredibox is above all an audio and visual experience that has quickly become a hit with people of all ages. The right mix of music, graphics, animation and interactivity makes Incredibox ideal for everyone. And because it makes learning fun and entertaining, Incredibox is now being used by schools all over the world.
How to play? Easy! Drag and drop icons onto the avatars to make them sing and start to compose your own music. Find the right sound combos to unlock animated choruses that will enhance your tune.
Save, share and download your mix! Once your composition sounds great, just save it and you will get a link to your mix. You can easily share it with anybody so they can listen and even vote for it.
If your mix sounds great and gets enough votes from other users, you may go down in Incredibox history by joining the Top 50 chart. Ready to show your stuff?
Too lazy to create your own mix? No problem, just let the automatic mode play for you!
Pump it up and chill ;)
****************
Incredibox, the brainchild of Lyon, France-based studio So Far So Good, was created in 2009. Starting out as a webpage, it was then released as a mobile and tablet app and became an instant hit. It has won several awards and appeared in various international media, including: BBC, Adobe, FWA, Gizmodo, Slate, Konbini, Softonic, Kotaku, Cosmopolitan, PocketGamer, AppAdvice, AppSpy, Vice, Ultralinx and many others. The online demo has attracted more than 60 million visitors since its creation.","4.7","27,219","$4.99 Buy","Music","https://play.google.com/store/apps/category/GAME_MUSIC"
"There Is No Game: Wrong Dimension","https://play.google.com/store/apps/details?id=com.DMAP.Ting_WD","""There is no game: Wrong dimension"" is a Point&Click comedy adventure that will take you on a journey you never asked to go on, through silly and unexpected video game universes.
Will you be able to play along with the """"Game"""" to find your way home?
We sincerely think NOT.""
-A Point&Click comedy adventure. You can go ahead and put your controller back up on the shelf.
-Incredible 3D graphics that are flat. Completely flat. And very pixelated.
-Almost fully voiced. (May contain traces of foreign accents here and there.)
-Solve riddles that require you to think ""Outside the box"".
-Hint system included because you can't think ""Outside the box""...
-Shorter than an MMORPG, which leaves you plenty of time to finish some REAL good games.
-Discover the Top 10 best walls. The fourth one will surprise you!
-Motion sickness free, which is pretty remarkable for a non-VR experience.
-Contains tons of bugs... but it’s supposed to be like that.
-And lots of other surprises!
Voices: English
Subtitles: English / French / German / Italian / Spanish / Brazilian / Russian / Simplified Chinese","4.5","1,807","$4.99 Buy","Puzzle","https://play.google.com/store/apps/category/GAME_PUZZLE"
"Papa's Sushiria To Go!","https://play.google.com/store/apps/details?id=air.com.flipline.papassushiriatogo","Slice and serve delicious sushi in Papa's Sushiria To Go!
-- ABOUT THE GAME --
Your tour of Papa Louie's new restaurant goes awry when you break the lucky cat statue outside of the shop. Is this to blame for the restaurant's underwhelming opening day? When Papa Louie leaves on a mission to find a new statue, you're left in charge of Papa's Sushiria, where you need to master the fine art of sushi making!
You'll need to cook, season, and spread the rice onto nori and soy paper using the all-in-one ""Sushi Square"" cooker. Add fillings to the sushi, and roll it up before placing toppings and drizzling sauces across the top. Slice up the sushi into bite-sized pieces, and prepare a delicious Bubble Tea to serve alongside the order before serving it to your hungry customers. Sakura Bay celebrates different holidays throughout the year, and you'll unlock new seasonal ingredients as you go for creating deliciously festive sushi and tea.
-- GAME FEATURES --
NEW FEATURES - All of your favorite features from other versions of Papa's restaurants are now available in this ""To Go"" game, redesigned and reimagined for smaller screens!
HOLIDAY FLAVORS - Celebrate the seasons in Sakura Bay with tasty holiday flavors! Your customers will order delectable sushi made with seasonal ingredients. You'll unlock new fillings, soy paper, sauces, toppings, and tea flavors for each holiday of the year, and your customers will love trying these festive flavors in their sushi rolls.
SERVE SPECIAL RECIPES - Earn Special Recipes from your customers, and serve them as the Daily Special in the Sushiria! Each Special has a bonus you can earn for serving a prime example of that recipe. Master each special to earn a special prize!
CUSTOMIZE YOUR WORKERS - Play as Matt or Clover, or create your own custom character to work in the sushi restaurant! You can also show off your holiday spirit with a massive variety of holiday outfits and clothing for your workers. Choose unique color combinations for each item of clothing, and create your own style with millions of combinations!
SPECIAL DELIVERY - Some customers don't want to travel all the way to Sakura Bay for fresh sushi. When you start taking phone orders, customers can call to place their order, and you'll hire a Driver to help take and deliver orders to their homes instead!
COLLECT STICKERS - Complete a variety of tasks and achievements while playing to earn colorful Stickers for your collection. Each customer has a set of three favorite Stickers: Earn all three and you'll be rewarded with a brand-new outfit to give to that customer!
DECORATE THE SHOP - Customize the Sushiria lobby with themed furniture and decorations for each holiday of the year! Mix and match your favorite styles, or add items that match the current holiday so customers won't mind waiting longer for their food.
CLIPPING COUPONS - Missing your favorite customer? Send them a coupon with the help of your friendly mailman, Vincent! Customers love a good deal, and will promptly arrive to order another meal. Coupons are great for completing quests for Stickers and for strategically leveling up customers!
DAILY MINI-GAMES - Play Foodini's famous Mini-Games after each workday to earn new furniture for your lobby and new clothing for your workers.
-- MORE FEATURES --
- Hands-on sushi shop in the Papa Louie universe
- All new controls and gameplay features designed for touchscreens
- Multi-task between cooking rice, building and slicing sushi, and making bubble tea
- Custom chefs and drivers
- 12 separate holidays to unlock, each with more ingredients
- Earn and master 40 unique Special Recipes
- 90 colorful Stickers to earn for completing tasks
- 128 customers to serve with unique orders
- Use Stickers to unlock new outfits for your customers
- 146 ingredients to unlock","4.8","898","$1.99 Buy","Strategy","https://play.google.com/store/apps/category/GAME_STRATEGY"
"Death Road to Canada","https://play.google.com/store/apps/details?id=com.noodlecake.drtc","Death Road to Canada is a Randomly Generated Road Trip Action-RPG. You manage a group of jerks as they explore cities, find weird people, and face up to 500 zombies at once. Everything's randomized: locations, events, survivor personalities and skills. There's a different story every time you play.
Travel the Death Road from Florida to Canada, the last nation on Earth. Find special events, rare encounters, and unique recruits. Recruit a grunting super-bodybuilder who's strong enough to pick up and throw the car. Try to teach a dog how to walk upright and shoot a minigun.
Most of all, get eaten by enormous hordes of slow, classic-style zombies.
*NOTE* A controller is required for the Android TV version.
++ This game is only available in English ++
DEATH ROAD FEATURES:
- Designed for massive amounts of replay value.
- Supports Bluetooth game pad controllers
- Character Maker lets you put friends and family into the game.
- Meet your custom characters during your travels. Get them eaten by mistake or on purpose.
- Make tough choices in text events that change depending on your group.
- Your team has different personalities, and someone may betray the others. Be careful!
- Lots and lots of secret events and unique characters with special abilities.
- Equip a wide variety of different weapons. Splat zombies with a flamethrower, battleaxe, hockey stick, wizard staff (lightning bolt), Mjolnir, boomerang, and much more.
- Canada jokes written by a real Canadian so they're 100% accurate.
- Get rid of all humans and make an entire team composed of dogs driving the car.
- Airhorn weapon with incredibly realistic, computer-generated airhorn sounds.","4.1","3,487","$9.99 $1.49 Buy","Adventure","https://play.google.com/store/apps/category/GAME_ADVENTURE"
